datetime,equity,cash,positions_value,positions,return,return_cum
2020-06-15,12561.107,-3.558,12564.664,{'SPY': 43},0.904,25.611
2020-06-16,12802.556,-3.558,12806.114,{'SPY': 43},1.922,28.026
2020-06-17,12746.493,-3.558,12750.05,{'SPY': 43},-0.438,27.465
2020-06-18,12753.858,-3.558,12757.416,{'SPY': 43},0.058,27.539
2020-06-19,12679.305,-3.558,12682.863,{'SPY': 43},-0.585,26.793
2020-06-22,12766.445,-3.558,12770.002,{'SPY': 43},0.687,27.664
2020-06-23,12821.936,-3.558,12825.494,{'SPY': 43},0.435,28.219
2020-06-24,12496.804,-3.558,12500.362,{'SPY': 43},-2.536,24.968
2020-06-25,12627.924,-3.558,12631.482,{'SPY': 43},1.049,26.279
2020-06-26,12327.87,-3.558,12331.428,{'SPY': 43},-2.376,23.279
2020-06-29,12509.55,-3.558,12513.108,{'SPY': 43},1.474,25.095
2020-06-30,12679.718,-3.558,12683.276,{'SPY': 43},1.36,26.797
2020-07-01,12761.925,-3.558,12765.483,{'SPY': 43},0.648,27.619
2020-07-02,12828.098,-3.558,12831.656,{'SPY': 43},0.519,28.281
2020-07-06,13025.808,-3.558,13029.366,{'SPY': 43},1.541,30.258
2020-07-07,12891.398,-3.558,12894.956,{'SPY': 43},-1.032,28.914
2020-07-08,12990.049,-3.558,12993.607,{'SPY': 43},0.765,29.9
2020-07-09,12920.17,-3.558,12923.727,{'SPY': 43},-0.538,29.202
2020-07-10,13051.289,-3.558,13054.847,{'SPY': 43},1.015,30.513
2020-07-13,12936.2,-3.558,12939.758,{'SPY': 43},-0.882,29.362
2020-07-14,13103.904,-3.558,13107.462,{'SPY': 43},1.296,31.039
2020-07-15,13226.188,-3.558,13229.746,{'SPY': 43},0.933,32.262
2020-07-16,13182.822,-3.558,13186.38,{'SPY': 43},-0.328,31.828
2020-07-17,13218.172,-3.558,13221.73,{'SPY': 43},0.268,32.182
2020-07-20,13328.738,-3.558,13332.296,{'SPY': 43},0.836,33.287
2020-07-21,13353.403,-3.558,13356.961,{'SPY': 43},0.185,33.534
2020-07-22,13429.853,-3.558,13433.411,{'SPY': 43},0.573,34.299
2020-07-23,13270.168,-3.558,13273.726,{'SPY': 43},-1.189,32.702
2020-07-24,13184.878,-3.558,13188.435,{'SPY': 43},-0.643,31.849
2020-07-27,13280.239,-3.558,13283.796,{'SPY': 43},0.723,32.802
2020-07-28,13198.852,-3.558,13202.41,{'SPY': 43},-0.613,31.989
2020-07-29,13358.744,-3.558,13362.302,{'SPY': 43},1.211,33.587
2020-07-30,13313.121,-3.558,13316.679,{'SPY': 43},-0.342,33.131
2020-07-31,13418.754,-3.558,13422.312,{'SPY': 43},0.793,34.188
2020-08-03,13509.592,-3.558,13513.15,{'SPY': 43},0.677,35.096
2020-08-04,13561.386,-3.558,13564.943,{'SPY': 43},0.383,35.614
2020-08-05,13645.235,-3.558,13648.793,{'SPY': 43},0.618,36.452
2020-08-06,13737.716,-3.558,13741.274,{'SPY': 43},0.678,37.377
2020-08-07,13747.584,-3.558,13751.142,{'SPY': 43},0.072,37.476
2020-08-10,13788.688,-3.558,13792.246,{'SPY': 43},0.299,37.887
2020-08-11,13676.475,-3.558,13680.033,{'SPY': 43},-0.814,36.765
2020-08-12,13865.55,-3.558,13869.108,{'SPY': 43},1.382,38.656
2020-08-13,13842.532,-3.558,13846.09,{'SPY': 43},-0.166,38.425
2020-08-14,13842.532,-3.558,13846.09,{'SPY': 43},0.0,38.425
2020-08-17,13884.457,-3.558,13888.015,{'SPY': 43},0.303,38.845
2020-08-18,13914.871,-3.558,13918.429,{'SPY': 43},0.219,39.149
2020-08-19,13857.329,-3.558,13860.887,{'SPY': 43},-0.414,38.573
2020-08-20,13899.667,-3.558,13903.224,{'SPY': 43},0.306,38.997
2020-08-21,13948.579,-3.558,13952.137,{'SPY': 43},0.352,39.486
2020-08-24,14092.44,-3.558,14095.998,{'SPY': 43},1.031,40.924
2020-08-25,14140.114,-3.558,14143.672,{'SPY': 43},0.338,41.401
2020-08-26,14282.336,-3.558,14285.894,{'SPY': 43},1.006,42.823
2020-08-27,14312.342,-3.558,14315.9,{'SPY': 43},0.21,43.123
2020-08-28,14404.826,-3.558,14408.384,{'SPY': 43},0.646,44.048
2020-08-31,14355.914,-3.558,14359.472,{'SPY': 43},-0.34,43.559
2020-09-01,14487.855,-3.558,14491.413,{'SPY': 43},0.919,44.879
2020-09-02,14698.306,-3.558,14701.863,{'SPY': 43},1.453,46.983
2020-09-03,14193.967,-3.558,14197.525,{'SPY': 43},-3.431,41.94
2020-09-04,14078.465,-3.558,14082.023,{'SPY': 43},-0.814,40.785
2020-09-08,13694.561,-3.558,13698.119,{'SPY': 43},-2.727,36.946
2020-09-09,13961.733,-3.558,13965.291,{'SPY': 43},1.951,39.617
2020-09-10,13721.69,-3.558,13725.247,{'SPY': 43},-1.719,37.217
2020-09-11,13728.264,-3.558,13731.822,{'SPY': 43},0.048,37.283
2020-09-14,13906.654,-3.558,13910.212,{'SPY': 43},1.299,39.067
2020-09-15,13977.763,-3.558,13981.321,{'SPY': 43},0.511,39.778
2020-09-16,13922.684,-3.558,13926.242,{'SPY': 43},-0.394,39.227
2020-09-17,13801.429,-3.558,13804.987,{'SPY': 43},-0.871,38.014
2020-09-18,13643.339,-3.558,13646.897,{'SPY': 43},-1.145,36.433
2020-09-21,13491.059,-3.558,13494.617,{'SPY': 43},-1.116,34.911
2020-09-22,13628.483,-3.558,13632.041,{'SPY': 43},1.019,36.285
2020-09-23,13311.96,-3.558,13315.518,{'SPY': 43},-2.323,33.12
2020-09-24,13347.448,-3.558,13351.006,{'SPY': 43},0.267,33.474
2020-09-25,13560.805,-3.558,13564.363,{'SPY': 43},1.598,35.608
2020-09-28,13788.189,-3.558,13791.747,{'SPY': 43},1.677,37.882
2020-09-29,13713.494,-3.558,13717.052,{'SPY': 43},-0.542,37.135
2020-09-30,13817.076,-3.558,13820.634,{'SPY': 43},0.755,38.171
2020-10-01,13904.977,-3.558,13908.535,{'SPY': 43},0.636,39.05
2020-10-02,13774.571,-3.558,13778.129,{'SPY': 43},-0.938,37.746
2020-10-05,14016.403,-3.558,14019.961,{'SPY': 43},1.756,40.164
2020-10-06,13818.728,-3.558,13822.286,{'SPY': 43},-1.41,38.187
2020-10-07,14057.67,-3.558,14061.228,{'SPY': 43},1.729,40.577
2020-10-08,14181.476,-3.558,14185.034,{'SPY': 43},0.881,41.815
2020-10-09,14309.818,-3.558,14313.376,{'SPY': 43},0.905,43.098
2020-10-12,14540.504,-3.558,14544.062,{'SPY': 43},1.612,45.405
2020-10-13,14446.416,-3.558,14449.974,{'SPY': 43},-0.647,44.464
2020-10-14,14356.451,-3.558,14360.009,{'SPY': 43},-0.623,43.565
2020-10-15,14337.467,-3.558,14341.025,{'SPY': 43},-0.132,43.375
2020-10-16,14326.325,-3.558,14329.883,{'SPY': 43},-0.078,43.263
2020-10-19,14110.904,-3.558,14114.462,{'SPY': 43},-1.504,41.109
2020-10-20,14165.381,-3.558,14168.939,{'SPY': 43},0.386,41.654
2020-10-21,14138.553,-3.558,14142.111,{'SPY': 43},-0.189,41.386
2020-10-22,14218.615,-3.558,14222.173,{'SPY': 43},0.566,42.186
2020-10-23,14265.248,-3.558,14268.806,{'SPY': 43},0.328,42.652
2020-10-26,14003.404,-3.558,14006.962,{'SPY': 43},-1.836,40.034
2020-10-27,13955.326,-3.558,13958.884,{'SPY': 43},-0.343,39.553
2020-10-28,13477.854,-3.558,13481.412,{'SPY': 43},-3.421,34.779
2020-10-29,13614.452,-3.558,13618.01,{'SPY': 43},1.014,36.145
